id,path,title,item_type,mime_type,size_bytes,modified_time,parent_id,url,inspection_status
"1MckecY4JPlnN16_p4gbWnxxNhCPMcgvx","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/1.3 Group Research Activity.pptx","1.3 Group Research Activity.pptx","file","application/vnd.openxmlformats-officedocument.presentationml.presentation","34692","2026-01-28T01:02:31.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/presentation/d/1MckecY4JPlnN16_p4gbWnxxNhCPMcgvx/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"11t9DIFsoIBTokrmn9iR98Pl4vJpcUS-O","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/2.1 Interesting Industries.pptx","2.1 Interesting Industries.pptx","file","application/vnd.openxmlformats-officedocument.presentationml.presentation","4940541","2026-01-28T01:02:35.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/presentation/d/11t9DIFsoIBTokrmn9iR98Pl4vJpcUS-O/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1AWchXQIDbyc0vR3AxgRVAeq5m0peYASD","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/2.2 Interesting Industries .docx","2.2 Interesting Industries .docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","6541448","2026-01-28T01:02:37.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/document/d/1AWchXQIDbyc0vR3AxgRVAeq5m0peYASD/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1SV8KDBG-fX3OGGb-MbxYM9bIMZammZwG","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/3.1 Beneficial & Harmful Microorganisms and Invertebrates.pptx","3.1 Beneficial & Harmful Microorganisms and Invertebrates.pptx","file","application/vnd.openxmlformats-officedocument.presentationml.presentation","11341020","2026-01-28T01:02:40.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/presentation/d/1SV8KDBG-fX3OGGb-MbxYM9bIMZammZwG/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1XuXJv7f-R3TB4PvCc2pBKs2bUdqnlkap","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/3.2 Beneficial & Harmful Microorganisms and Invertebrates.docx","3.2 Beneficial & Harmful Microorganisms and Invertebrates.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","1932014","2026-01-28T01:02:41.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/document/d/1XuXJv7f-R3TB4PvCc2pBKs2bUdqnlkap/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1Bz29aiuiUJqb4PLdHLyE6x_2UW0D9ZaI","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/4.1 Integrated Pest Management.pptx","4.1 Integrated Pest Management.pptx","file","application/vnd.openxmlformats-officedocument.presentationml.presentation","3886926","2026-01-28T01:02:44.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/presentation/d/1Bz29aiuiUJqb4PLdHLyE6x_2UW0D9ZaI/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1bstuDNaWWr01BUhKIiTLDh4m3_mkF-Hp","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/4.2 Integrated Pest Management.docx","4.2 Integrated Pest Management.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","1933077","2026-01-28T01:02:46.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/document/d/1bstuDNaWWr01BUhKIiTLDh4m3_mkF-Hp/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1dcClwWaj-H88jjd3XpTkpCHNCJa1f0cc","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/5.1 Livestock & Data Trends.pptx","5.1 Livestock & Data Trends.pptx","file","application/vnd.openxmlformats-officedocument.presentationml.presentation","5279615","2026-01-28T01:02:50.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/presentation/d/1dcClwWaj-H88jjd3XpTkpCHNCJa1f0cc/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1gPy7Vo9EsqfAvgCd47JI42r5MDQIq4Hk","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/5.2 Livestock & Data Trends.docx","5.2 Livestock & Data Trends.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","1936946","2026-01-28T01:02:52.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/document/d/1gPy7Vo9EsqfAvgCd47JI42r5MDQIq4Hk/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1ZyiWpiiG62KwjpAJPdYLLzdw5djbnlAA","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/5.3 Graph Printout.docx","5.3 Graph Printout.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","1933271","2026-01-28T01:02:54.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/document/d/1ZyiWpiiG62KwjpAJPdYLLzdw5djbnlAA/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1RrPPtQw_xtzggf9u9moTDKOoOSEdGZ0t","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/6.1 Marketing Strategies.pptx","6.1 Marketing Strategies.pptx","file","application/vnd.openxmlformats-officedocument.presentationml.presentation","2409531","2026-01-28T01:02:59.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/presentation/d/1RrPPtQw_xtzggf9u9moTDKOoOSEdGZ0t/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1fSiT411wamBgmJGdbtuTU7CVtMzzyQzH","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/6.2 Marketing Strategies.docx","6.2 Marketing Strategies.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","1932260","2026-01-28T01:03:01.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/document/d/1fSiT411wamBgmJGdbtuTU7CVtMzzyQzH/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1BVrV2xjER_lrFB75lXR073TfKnMCTKui","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/7.1 Marketing Survey.pptx","7.1 Marketing Survey.pptx","file","application/vnd.openxmlformats-officedocument.presentationml.presentation","2381743","2026-01-28T01:03:03.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/presentation/d/1BVrV2xjER_lrFB75lXR073TfKnMCTKui/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1U9X7F-WJRph39ARnLg7_GZP3hARx9ayB","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/7.2 Marketing Survey.docx","7.2 Marketing Survey.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","1931188","2026-01-28T01:03:05.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/document/d/1U9X7F-WJRph39ARnLg7_GZP3hARx9ayB/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1xqbsTpfZ-Fc3R57_w7ZS-SO8JMxvNKCh","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/8.1 Value-Adding in Agriculture.pptx","8.1 Value-Adding in Agriculture.pptx","file","application/vnd.openxmlformats-officedocument.presentationml.presentation","3671808","2026-01-28T01:03:21.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/presentation/d/1xqbsTpfZ-Fc3R57_w7ZS-SO8JMxvNKCh/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1P4A1IRCag7X2YQEe1G9Kow8WB3OklGeT","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/8.2 Value-Adding in Agriculture.docx","8.2 Value-Adding in Agriculture.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","1934486","2026-01-28T01:03:22.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/document/d/1P4A1IRCag7X2YQEe1G9Kow8WB3OklGeT/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1sVK1R2dcbh9KQJc1p0D6J9mMY3HECpf7","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/9.1 Alternative Production Systems.pptx","9.1 Alternative Production Systems.pptx","file","application/vnd.openxmlformats-officedocument.presentationml.presentation","3806241","2026-01-28T01:03:24.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/presentation/d/1sVK1R2dcbh9KQJc1p0D6J9mMY3HECpf7/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"15iq3A7Wlkgz-6188T-ihlFMP2RSUDAmk","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/9.2 Alternative Production Systems.docx","9.2 Alternative Production Systems.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","1934364","2026-01-28T01:03:28.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/document/d/15iq3A7Wlkgz-6188T-ihlFMP2RSUDAmk/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1luwUV9ltRyALgIaUKaLYALqvKkOO_kzK","/2026/Teaching and Learning Programs/2. Pastures & Cropping","2. Pastures & Cropping","folder","application/vnd.google-apps.folder","","2026-01-28T00:58:38.697Z","1fsDGq71FrHfnko_g3rlhUjQL4-1Y1EVn","https://drive.google.com/drive/folders/1luwUV9ltRyALgIaUKaLYALqvKkOO_kzK","listed"
"1g-7si41MpG-Sd9rfbuiSTU7eJkr4pyU4","/2026/Teaching and Learning Programs/2. Pastures & Cropping/0.1 Pastures and Cropping Program.docx","0.1 Pastures and Cropping Program.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","24765","2026-01-28T01:05:44.000Z","1luwUV9ltRyALgIaUKaLYALqvKkOO_kzK","https://docs.google.com/document/d/1g-7si41MpG-Sd9rfbuiSTU7eJkr4pyU4/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1trWtXtv4Z2oW6yevYaYZK4GFFcGv69rG","/2026/Teaching and Learning Programs/2. Pastures & Cropping/1.1 Plant Anatomy & Pasture and Crop Performance.pptx","1.1 Plant Anatomy & Pasture and Crop Performance.pptx","file","application/vnd.openxmlformats-officedocument.presentationml.presentation","8437406","2026-01-28T01:05:50.000Z","1luwUV9ltRyALgIaUKaLYALqvKkOO_kzK","https://docs.google.com/presentation/d/1trWtXtv4Z2oW6yevYaYZK4GFFcGv69rG/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1rFMdj-mhvIL9I5uLMVS1kddUhEUyBed0","/2026/Teaching and Learning Programs/2. Pastures & Cropping/1.2 Plant Anatomy & Pasture and Crop Performance.docx","1.2 Plant Anatomy & Pasture and Crop Performance.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","1801128","2026-01-28T01:05:51.000Z","1luwUV9ltRyALgIaUKaLYALqvKkOO_kzK","https://docs.google.com/document/d/1rFMdj-mhvIL9I5uLMVS1kddUhEUyBed0/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"CONTROLLED-ANSWER-1","/2026/[controlled answer material omitted from public release]","Controlled answer material inspected; title and identifier not published","file","controlled","","","","","content_read_not_published"
"1N66_iVcu1SINzWXUh_tzD1sLAeXW_Hta","/2026/Teaching and Learning Programs/2. Pastures & Cropping/10.1 Evaluation & Careers.pptx","10.1 Evaluation & Careers.pptx","file","application/vnd.openxmlformats-officedocument.presentationml.presentation","9205519","2026-01-28T01:07:00.000Z","1luwUV9ltRyALgIaUKaLYALqvKkOO_kzK","https://docs.google.com/presentation/d/1N66_iVcu1SINzWXUh_tzD1sLAeXW_Hta/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1sEPZjEZYMrxomZgbPuuhMZKX1dyfN9tF","/2026/Teaching and Learning Programs/2. Pastures & Cropping/10.2 Evaluation & Careers.docx","10.2 Evaluation & Careers.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","1800646","2026-01-28T01:07:13.000Z","1luwUV9ltRyALgIaUKaLYALqvKkOO_kzK","https://docs.google.com/document/d/1sEPZjEZYMrxomZgbPuuhMZKX1dyfN9tF/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"10KaKCdYjfjr9iCfrhIpwZAkXAMnrtGl6","/2026/Teaching and Learning Programs/2. Pastures & Cropping/2.1 Identifying Agricultural Plants.pptx","2.1 Identifying Agricultural Plants.pptx","file","application/vnd.openxmlformats-officedocument.presentationml.presentation","7738867","2026-01-28T01:06:02.000Z","1luwUV9ltRyALgIaUKaLYALqvKkOO_kzK","https://docs.google.com/presentation/d/10KaKCdYjfjr9iCfrhIpwZAkXAMnrtGl6/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1Mf4Xem3XSlo3b1wYiz9vL3ZdkKCvrGVh","/2026/Teaching and Learning Programs/2. Pastures & Cropping/2.2 Identifying Agricultural Plants.docx","2.2 Identifying Agricultural Plants.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","2086148","2026-01-28T01:06:04.000Z","1luwUV9ltRyALgIaUKaLYALqvKkOO_kzK","https://docs.google.com/document/d/1Mf4Xem3XSlo3b1wYiz9vL3ZdkKCvrGVh/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
